t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
0.001,1761992920.7987976,0,0.0,300000,0,5.0
0.001,1761992920.7987976,1,0.0,300000,0,5.0
0.001,1761992920.7987976,2,0.0069,300000,0,5.0137
0.001,1761992920.7987976,3,0.0,300000,0,5.0
0.001,1761992920.7987976,4,0.0,300000,0,5.0
0.001,1761992920.7987976,5,0.0,300000,0,5.0
0.001,1761992920.7987976,6,0.0,300000,0,5.0
0.001,1761992920.7987976,7,0.0,300000,0,5.0
0.502,1761992921.300074,0,0.0,300000,0,5.0
0.502,1761992921.300074,1,0.0,300000,0,5.0
0.502,1761992921.300074,2,0.0045,300000,0,5.0089
0.502,1761992921.300074,3,0.0,300000,0,5.0
0.502,1761992921.300074,4,0.0,300000,0,5.0
0.502,1761992921.300074,5,0.0,300000,0,5.0
0.502,1761992921.300074,6,0.0,300000,0,5.0
0.502,1761992921.300074,7,0.0,300000,0,5.0
1.004,1761992921.801389,0,0.0,300000,0,5.0
1.004,1761992921.801389,1,0.0,300000,0,5.0
1.004,1761992921.801389,2,0.0029,300000,0,5.0058
1.004,1761992921.801389,3,0.0,300000,0,5.0
1.004,1761992921.801389,4,0.007,300000,0,5.014
1.004,1761992921.801389,5,0.0,300000,0,5.0
1.004,1761992921.801389,6,0.0,300000,0,5.0
1.004,1761992921.801389,7,0.0206,300000,0,5.0412
1.505,1761992922.3026507,0,0.0,300000,0,5.0
1.505,1761992922.3026507,1,0.0,300000,0,5.0
1.505,1761992922.3026507,2,0.0019,300000,0,5.0038
1.505,1761992922.3026507,3,0.0,300000,0,5.0
1.505,1761992922.3026507,4,0.0045,300000,0,5.0091
1.505,1761992922.3026507,5,0.0,300000,0,5.0
1.505,1761992922.3026507,6,0.0,300000,0,5.0
1.505,1761992922.3026507,7,0.0134,300000,0,5.0268
2.006,1761992922.8041334,0,0.0069,300000,0,5.0137
2.006,1761992922.8041334,1,0.0,300000,0,5.0
2.006,1761992922.8041334,2,0.015,300000,0,5.0299
2.006,1761992922.8041334,3,0.0,300000,0,5.0
2.006,1761992922.8041334,4,0.01,300000,0,5.0199
2.006,1761992922.8041334,5,0.0,300000,0,5.0
2.006,1761992922.8041334,6,0.0,300000,0,5.0
2.006,1761992922.8041334,7,0.0157,300000,0,5.0314
2.508,1761992923.3054967,0,0.0045,300000,0,5.0089
2.508,1761992923.3054967,1,0.0,300000,0,5.0
2.508,1761992923.3054967,2,0.0167,300000,0,5.0334
2.508,1761992923.3054967,3,0.0,300000,0,5.0
2.508,1761992923.3054967,4,0.0065,300000,0,5.0129
2.508,1761992923.3054967,5,0.0,300000,0,5.0
2.508,1761992923.3054967,6,0.0,300000,0,5.0
2.508,1761992923.3054967,7,0.0102,300000,0,5.0204
3.009,1761992923.8067,0,0.0029,300000,0,5.0058
3.009,1761992923.8067,1,0.0,300000,0,5.0
3.009,1761992923.8067,2,0.0109,300000,0,5.0217
3.009,1761992923.8067,3,0.014,300000,0,5.028
3.009,1761992923.8067,4,0.0042,300000,0,5.0084
3.009,1761992923.8067,5,0.0,300000,0,5.0
3.009,1761992923.8067,6,0.0067,300000,0,5.0135
3.009,1761992923.8067,7,0.0066,300000,0,5.0133
3.51,1761992924.3081849,0,0.0087,300000,0,5.0175
3.51,1761992924.3081849,1,0.0,300000,0,5.0
3.51,1761992924.3081849,2,0.0071,300000,0,5.0141
3.51,1761992924.3081849,3,0.0162,300000,0,5.0325
3.51,1761992924.3081849,4,0.0447,300000,0,5.0895
3.51,1761992924.3081849,5,0.007,300000,0,5.014
3.51,1761992924.3081849,6,0.0187,300000,0,5.0373
